batch,avg_latency_ns,avg_walltime_s,avg_IOs,data_IO_time,hit_ratio
1,2323771.418646,37.251906,902163,288311946395,0.000000
2,1437619.662384,23.528962,817076,179464065044,0.000000
4,668519.473970,10.519331,708669,80309758890,0.000000
8,735281.025217,11.575608,591069,89288953055,0.000000
16,540907.151610,8.470551,501275,65354949004,0.000000
32,156862.501209,2.467891,449084,17784279982,0.000000
64,112129.224061,1.764438,417431,12260802165,0.000000
128,91393.716104,1.438211,396359,10577171244,0.000000
256,76215.502897,1.211190,381727,8073472590,0.000000
512,66054.503655,1.059723,370217,6551152368,0.000000
1024,68806.117195,1.121836,369148,6445812767,0.000000
2048,77338.635972,1.287099,357269,7186293874,0.000000
4096,77216.981538,1.257808,336679,7058207558,0.000000
1,1987547.356898,31.701146,903466,242159522058,0.000000
2,1641494.690284,25.715997,821598,197304240470,0.000000
4,1134946.048296,17.866479,709878,137951261946,0.000000
8,495699.608250,7.777451,591156,58975334735,0.000000
16,204650.023010,3.215538,502372,23420772663,0.000000
32,139207.034471,2.190094,448850,15541058607,0.000000
64,173656.335102,2.743243,417180,20023446239,0.000000
128,124194.629192,1.967210,396659,13976899096,0.000000
256,100364.970271,1.599331,382474,11145525247,0.000000
512,90698.254071,1.466006,370554,9795820689,0.000000
1024,92809.648158,1.484939,359213,9210131322,0.000000
2048,85287.436067,1.390378,347192,8152567974,0.000000
4096,95252.524689,1.542073,335369,8594949464,0.000000
1,1966103.659463,31.453943,903812,240969036706,0.000000
2,1643737.162787,25.768500,820169,198381343802,0.000000
4,1311598.796657,20.538390,709960,158917195197,0.000000
8,316345.103604,4.976908,592073,37214455025,0.000000
16,217337.309469,3.474967,502758,25551394968,0.000000
32,300110.747720,4.733305,449869,36447515944,0.000000
64,174608.705337,2.768751,418328,20934966850,0.000000
128,122112.385379,1.937118,396795,14287437161,0.000000
256,100841.843805,1.609617,381681,10952913947,0.000000
512,98981.838510,1.578975,369104,10542482586,0.000000
1024,88963.265083,1.415137,357666,8958460135,0.000000
2048,97481.616648,1.578818,334990,10363877026,0.000000
4096,98469.486188,1.564782,326422,9250892195,0.000000
1,1930757.770801,30.892648,901264,237600573903,0.000000
2,1435854.512877,22.696715,821749,174099453973,0.000000
4,670252.608266,10.535020,699785,81788993088,0.000000
8,704831.512935,11.263681,587668,87320190294,0.000000
16,528701.338766,8.332316,502186,64332327701,0.000000
32,159875.630000,2.515171,450130,19080859017,0.000000
64,110901.303676,1.746942,417781,13077013168,0.000000
128,92347.084422,1.452172,397039,10184687998,0.000000
256,76624.804930,1.214481,381043,8571753844,0.000000
512,66278.750334,1.074118,371578,7164799850,0.000000
1024,63495.008233,1.028643,359631,6752099574,0.000000
2048,55230.682239,0.906196,343945,5543957970,0.000000
4096,68535.865024,1.109304,327050,6605072228,0.000000