N,epsilon,avg_latency_ns,total_wall_time_s,IOs,IO_time_s,mem_time_s,IO_fraction,mem_fraction,cache_hit_ratio
1000000,16,9526.462463,9.526857,357252,8.004156,1.522701,0.840168,0.159832,0.665131
1000000,16,10032.064285,10.032379,357252,8.263859,1.768520,0.823719,0.176281,0.665131
1000000,16,9710.639358,9.710958,357252,8.095934,1.615024,0.833691,0.166309,0.665131
1000000,16,9475.282343,9.475627,357252,8.126716,1.348911,0.857644,0.142356,0.665131
1000000,16,9508.553981,9.508849,357252,8.152804,1.356045,0.857391,0.142609,0.665131
1000000,16,9466.017973,9.466325,357252,8.133628,1.332696,0.859217,0.140783,0.665131
1000000,16,9649.206604,9.649449,357252,8.033372,1.616078,0.832521,0.167479,0.665131
1000000,16,9194.444264,9.194671,357252,7.893276,1.301396,0.858462,0.141538,0.665131
1000000,16,9258.699744,9.258847,357252,7.827091,1.431756,0.845363,0.154637,0.665131
1000000,16,9463.225540,9.463461,357252,7.930833,1.532627,0.838048,0.161952,0.665131
2000000,16,6089.685793,12.179534,388031,9.827086,2.352448,0.806852,0.193148,0.818097
2000000,16,5938.153756,11.876512,388031,9.504547,2.371965,0.800281,0.199719,0.818097
2000000,16,5742.964718,11.486043,388031,9.105632,2.380412,0.792756,0.207244,0.818097
2000000,16,5707.115917,11.414453,388031,9.014393,2.400060,0.789735,0.210265,0.818097
2000000,16,5976.439874,11.953096,388031,9.141108,2.811988,0.764748,0.235252,0.818097
2000000,16,6995.216142,13.990647,388031,10.671004,3.319643,0.762724,0.237276,0.818097
2000000,16,8796.170567,17.592634,388031,14.207356,3.385278,0.807574,0.192426,0.818097
2000000,16,5745.682904,11.491732,388031,9.029750,2.461982,0.785761,0.214239,0.818097